광역지자체,자치구,연월,주기,지표명,값,단위
강원,,2014-01,반기(구합산),취업자 (천명),737.5,
강원,,2014-07,반기(구합산),15세이상인구 (천명),1270.4,
강원,,2014-07,반기(구합산),경제활동인구 (천명),753.8,
강원,,2014-07,반기(구합산),비경제활동인구 (천명),516.5,
강원,,2014-07,반기(구합산),실업자 (천명),15.4,
강원,,2014-07,반기(구합산),취업자 (천명),738.1,
강원,,2015-01,반기(구합산),15세이상인구 (천명),1277.7,
강원,,2015-01,반기(구합산),경제활동인구 (천명),767.2,
강원,,2015-01,반기(구합산),비경제활동인구 (천명),510.3,
강원,,2015-01,반기(구합산),실업자 (천명),20.0,
강원,,2015-01,반기(구합산),취업자 (천명),747.1,
강원,,2015-07,반기(구합산),15세이상인구 (천명),1283.6,
강원,,2015-07,반기(구합산),경제활동인구 (천명),768.6,
강원,,2015-07,반기(구합산),비경제활동인구 (천명),515.0,
강원,,2015-07,반기(구합산),실업자 (천명),17.2,
강원,,2015-07,반기(구합산),취업자 (천명),751.6,
강원,,2016-01,반기(구합산),15세이상인구 (천명),1286.5,
강원,,2016-01,반기(구합산),경제활동인구 (천명),775.0,
강원,,2016-01,반기(구합산),비경제활동인구 (천명),511.6,
강원,,2016-01,반기(구합산),실업자 (천명),19.9,
강원,,2016-01,반기(구합산),취업자 (천명),754.8,
강원,,2016-07,반기(구합산),15세이상인구 (천명),1290.0,
강원,,2016-07,반기(구합산),경제활동인구 (천명),783.3,
강원,,2016-07,반기(구합산),비경제활동인구 (천명),506.8,
강원,,2016-07,반기(구합산),실업자 (천명),15.3,
강원,,2016-07,반기(구합산),취업자 (천명),768.1,
강원,,2017-01,반기(구합산),15세이상인구 (천명),1293.8,
강원,,2017-01,반기(구합산),경제활동인구 (천명),792.2,
강원,,2017-01,반기(구합산),비경제활동인구 (천명),501.3,
강원,,2017-01,반기(구합산),실업자 (천명),19.3,
강원,,2017-01,반기(구합산),취업자 (천명),773.0,
강원,,2017-07,반기(구합산),15세이상인구 (천명),1296.7,
강원,,2017-07,반기(구합산),경제활동인구 (천명),783.0,
강원,,2017-07,반기(구합산),비경제활동인구 (천명),513.7,
강원,,2017-07,반기(구합산),실업자 (천명),21.7,
강원,,2017-07,반기(구합산),취업자 (천명),761.4,
강원,,2018-01,반기(구합산),15세이상인구 (천명),1298.7,
강원,,2018-01,반기(구합산),경제활동인구 (천명),798.7,
강원,,2018-01,반기(구합산),비경제활동인구 (천명),499.9,
강원,,2018-01,반기(구합산),실업자 (천명),20.3,
강원,,2018-01,반기(구합산),취업자 (천명),778.6,
강원,,2018-07,반기(구합산),15세이상인구 (천명),1301.3,
강원,,2018-07,반기(구합산),경제활동인구 (천명),814.0,
강원,,2018-07,반기(구합산),비경제활동인구 (천명),487.3,
강원,,2018-07,반기(구합산),실업자 (천명),16.1,
강원,,2018-07,반기(구합산),취업자 (천명),798.0,
강원,,2019-01,반기(구합산),15세이상인구 (천명),1302.9,
강원,,2019-01,반기(구합산),경제활동인구 (천명),823.5,
