광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
서울,,2021-01,1099,613,2846
서울,,2021-02,5039,3083,8884
서울,,2021-03,2027,781,3384
서울,,2021-04,6625,803,1263
서울,,2021-05,4803,1504,1465
서울,,2021-06,3655,4323,2054
서울,,2021-07,3771,1391,7260
서울,,2021-08,2837,3567,2046
서울,,2021-09,9987,3210,2105
서울,,2021-10,5815,7889,2832
서울,,2021-11,5213,1235,3507
서울,,2021-12,1948,6171,6083
서울,,2022-01,2113,4964,4030
서울,,2022-02,3923,1727,810
서울,,2022-03,1036,6039,4521
서울,,2022-04,2509,3513,3737
서울,,2022-05,940,1820,1121
서울,,2022-06,3309,6972,833
서울,,2022-07,1929,5879,496
서울,,2022-08,2611,3115,5666
서울,,2022-09,1407,3649,272
서울,,2022-10,971,2727,3308
서울,,2022-11,1306,2239,2377
서울,,2022-12,3079,2250,4665
서울,,2023-01,1432,2449,2179
서울,,2023-02,6246,925,2397
서울,,2023-03,3827,2960,1316
서울,,2023-04,2140,978,1192
서울,,2023-05,566,2052,443
서울,,2023-06,980,461,5826
서울,,2023-07,2149,1305,9572
서울,,2023-08,3116,1382,3832
서울,,2023-09,103,4603,995
서울,,2023-10,3664,4041,1384
서울,,2023-11,6483,5764,7454
서울,,2023-12,4259,506,1438
서울,,2024-01,2184,819,2687
서울,,2024-02,2339,1328,1407
서울,,2024-03,1348,6644,785
서울,,2024-04,364,343,1114
서울,,2024-05,3026,1105,206
서울,,2024-06,2718,751,1331
서울,,2024-07,2013,1229,1988
서울,,2024-08,5691,1466,2104
서울,,2024-09,1362,711,1619
서울,,2024-10,2518,712,3009
서울,,2024-11,6226,3648,13386
서울,,2024-12,17843,3065,3352
서울,,2025-01,2406,1605,4240
서울,,2025-02,4260,617,1889
서울,,2025-03,6909,1387,3155
서울,,2025-04,1408,3239,8392
서울,,2025-05,2242,2002,3026
서울,,2025-06,3127,1886,8718
서울,,2025-07,3500,278,4919
서울,,2025-08,1015,622,2700
서울,,2025-09,3341,811,416
서울,,2025-10,2104,2492,1721
